Metric,Noise Type,Seed,Value,Brightness,Gaussian Level
Mean Precision,Poisson-Gaussian,4,0.4164924399,0.4,22.5
Mean Precision,Poisson-Gaussian,0,0.5944274503,0.2,2.5
Mean Precision,Poisson-Gaussian,1,0.5947884176,0.2,2.5
Mean Precision,Poisson-Gaussian,2,0.5949676474,0.2,2.5
Mean Precision,Poisson-Gaussian,3,0.583815788,0.2,2.5
Mean Precision,Poisson-Gaussian,4,0.5785396067,0.2,2.5
Mean Precision,Poisson-Gaussian,0,0.560230368,0.2,5.0
Mean Precision,Poisson-Gaussian,1,0.5576090801,0.2,5.0
Mean Precision,Poisson-Gaussian,2,0.5616048583,0.2,5.0
Mean Precision,Poisson-Gaussian,3,0.5529610891,0.2,5.0
Mean Precision,Poisson-Gaussian,4,0.5558483059,0.2,5.0
Mean Precision,Poisson-Gaussian,0,0.4607400541,0.2,10.0
Mean Precision,Poisson-Gaussian,1,0.4546372779,0.2,10.0
Mean Precision,Poisson-Gaussian,2,0.4577269388,0.2,10.0
Mean Precision,Poisson-Gaussian,3,0.4386694996,0.2,10.0
Mean Precision,Poisson-Gaussian,4,0.4447592261,0.2,10.0
Mean Precision,Poisson-Gaussian,0,0.3557266163,0.2,15.0
Mean Precision,Poisson-Gaussian,1,0.3552447532,0.2,15.0
Mean Precision,Poisson-Gaussian,2,0.3597833459,0.2,15.0
Mean Precision,Poisson-Gaussian,3,0.3568773901,0.2,15.0
Mean Precision,Poisson-Gaussian,4,0.3518485502,0.2,15.0
Mean Precision,Poisson-Gaussian,0,0.0359116586,0.2,22.5
Mean Precision,Poisson-Gaussian,1,0.0335973841,0.2,22.5
Mean Precision,Poisson-Gaussian,2,0.0344259885,0.2,22.5
Mean Precision,Poisson-Gaussian,3,0.033825287,0.2,22.5
Mean Precision,Poisson-Gaussian,4,0.0351563033,0.2,22.5
Mean Precision,Poisson-Gaussian,0,0.474987297,0.1,2.5
Mean Precision,Poisson-Gaussian,1,0.4882668383,0.1,2.5
Mean Precision,Poisson-Gaussian,2,0.4910186882,0.1,2.5
Mean Precision,Poisson-Gaussian,3,0.4931215168,0.1,2.5
Mean Precision,Poisson-Gaussian,4,0.4815840696,0.1,2.5
Mean Precision,Poisson-Gaussian,0,0.4238505069,0.1,5.0
Mean Precision,Poisson-Gaussian,1,0.421175168,0.1,5.0
Mean Precision,Poisson-Gaussian,2,0.4146000938,0.1,5.0
Mean Precision,Poisson-Gaussian,3,0.4149921159,0.1,5.0
Mean Precision,Poisson-Gaussian,4,0.4323381545,0.1,5.0
Mean Precision,Poisson-Gaussian,0,0.0425691309,0.1,10.0
Mean Precision,Poisson-Gaussian,1,0.040431874,0.1,10.0
Mean Precision,Poisson-Gaussian,2,0.0432068471,0.1,10.0
